Date,NumberCasesPerDay,Cumulative,SevenDayAverage,SevenDayAverageQF,CumulativeRatePer100000
20200228,1,1,NA,z,0.02
20200301,2,3,NA,z,0.05
20200302,1,4,NA,z,0.07
20200303,3,7,NA,z,0.13
20200304,6,13,NA,z,0.24
20200305,2,15,NA,z,0.27
20200306,6,21,3,NA,0.38
20200307,6,27,4,NA,0.49
20200308,3,30,4,NA,0.55
20200309,16,46,6,NA,0.84
20200310,21,67,9,NA,1.23
20200311,25,92,11,NA,1.68
20200312,38,130,16,NA,2.38
20200313,48,178,22,NA,3.26
20200314,19,197,24,NA,3.6
20200315,12,209,26,NA,3.82
20200316,21,230,26,NA,4.21
20200317,43,273,29,NA,4.99
20200318,41,314,32,NA,5.74
20200319,50,364,33,NA,6.66
20200320,84,448,39,NA,8.2
20200321,67,515,45,NA,9.42
20200322,74,589,54,NA,10.78
20200323,138,727,71,NA,13.3
20200324,167,894,89,NA,16.36
20200325,188,1082,110,NA,19.8
20200326,223,1305,134,NA,23.87
20200327,274,1579,162,NA,28.89
20200328,204,1783,181,NA,32.62
20200329,197,1980,199,NA,36.22
20200330,317,2297,224,NA,42.02
20200331,341,2638,249,NA,48.26
20200401,389,3027,278,NA,55.38
20200402,351,3378,296,NA,61.8
20200403,381,3759,311,NA,68.77
20200404,261,4020,320,NA,73.55
20200405,225,4245,324,NA,77.66
20200406,404,4649,336,NA,85.05
20200407,352,5001,338,NA,91.49
20200408,343,5344,331,NA,97.77
20200409,304,5648,324,NA,103.33
20200410,329,5977,317,NA,109.35
20200411,185,6162,306,NA,112.73
20200412,220,6382,305,NA,116.76
20200413,359,6741,299,NA,123.33
20200414,346,7087,298,NA,129.66
20200415,331,7418,296,NA,135.71
20200416,428,7846,314,NA,143.54
20200417,394,8240,323,NA,150.75
20200418,264,8504,335,NA,155.58
20200419,159,8663,326,NA,158.49
20200420,348,9011,324,NA,164.86
20200421,400,9411,332,NA,172.17
20200422,340,9751,333,NA,178.39
20200423,314,10065,317,NA,184.14
20200424,306,10371,304,NA,189.74
20200425,184,10555,293,NA,193.1
20200426,171,10726,295,NA,196.23
20200427,434,11160,307,NA,204.17
20200428,383,11543,305,NA,211.18
20200429,431,11974,318,NA,219.06
20200430,337,12311,321,NA,225.23
20200501,375,12686,331,NA,232.09
20200502,222,12908,336,NA,236.15
20200503,188,13096,339,NA,239.59
20200504,329,13425,324,NA,245.61
20200505,288,13713,310,NA,250.88
20200506,307,14020,292,NA,256.49
20200507,297,14317,287,NA,261.93
20200508,258,14575,270,NA,266.65
20200509,180,14755,264,NA,269.94
20200510,153,14908,259,NA,272.74
20200511,265,15173,250,NA,277.59
20200512,230,15403,241,NA,281.8
20200513,198,15601,226,NA,285.42
20200514,211,15812,214,NA,289.28
20200515,151,15963,198,NA,292.04
20200516,103,16066,187,NA,293.93
20200517,93,16159,179,NA,295.63
20200518,141,16300,161,NA,298.21
20200519,182,16482,154,NA,301.54
20200520,121,16603,143,NA,303.75
20200521,111,16714,129,NA,305.78
20200522,91,16805,120,NA,307.45
20200523,50,16855,113,NA,308.36
20200524,53,16908,107,NA,309.33
20200525,96,17004,101,NA,311.09
20200526,478,17482,143,NA,319.83
20200527,66,17548,135,NA,321.04
20200528,55,17603,127,NA,322.05
20200529,30,17633,118,NA,322.59
20200530,40,17673,117,NA,323.33
20200531,23,17696,113,NA,323.75
20200601,38,17734,104,NA,324.44
20200602,46,17780,43,NA,325.28
20200603,34,17814,38,NA,325.91
20200604,35,17849,35,NA,326.55
20200605,24,17873,34,NA,326.98
20200606,22,17895,32,NA,327.39
