"Date","WastewaterSevenDayAverageMgc"
20200528,0.18
20200529,0.24
20200601,0.23
20200602,0.23
20200603,0.21
20200604,0.2
20200606,0.2
20200608,0.17
20200609,0.06
20200610,0.17
20200615,0.23
20200616,0.69
20200617,0.1
20200619,0.1
20200622,0.21
20200623,0.1
20200624,0.07
20200626,0.08
20200628,0.09
20200630,0.01
20200701,0.01
20200703,0.01
20200706,0
20200707,0
20200708,0
20200710,0
20200713,0
20200714,0.04
20200715,0.04
20200717,0.08
20200720,0.08
20200727,0
20200728,0
20200803,0.16
20200805,0.44
20200807,0.17
20200808,0.14
20200809,0.13
20200810,2.66
20200811,2.2
20200812,2.97
20200813,2.78
20200814,2.86
20200817,1.25
20200818,1.06
20200819,1.07
20200820,1.18
20200821,1.09
20200822,1.05
20200824,1.01
20200825,1.98
20200826,2.49
20200828,2.5
20200831,2.71
20200901,2.45
20200902,2.17
20200903,2.17
20200904,2.46
20200906,2.46
20200907,3.13
20200908,3.81
20200909,4.23
20200910,4.19
20200911,4.2
20200914,4.13
20200915,2.76
20200916,2.35
20200917,2.36
20200918,2.33
20200920,2.43
20200921,4.67
20200922,6
20200923,7.41
20200924,7.57
20200925,7.67
20200928,8.21
20200929,11.49
20200930,12.27
20201001,13.17
20201002,14.24
20201005,15.38
20201006,23.46
20201007,24.01
20201009,23.97
20201012,24.99
20201013,18.24
20201014,18.99
20201015,19.26
20201016,20.85
20201019,20.11
20201020,27.09
20201021,26.76
20201022,26.62
20201023,26.02
20201026,27.74
20201027,22.81
20201028,20.46
20201029,20.91
20201030,21.85
20201031,22.35
20201102,22.05
20201103,25.91
20201104,27.01
20201106,24.52
20201109,19.76
20201110,20.39
20201111,18.7
20201112,19.91
20201113,22.56
20201116,18.58
20201117,21.34
20201118,20.38
20201119,16.82
20201120,16.67
20201123,20.13
20201124,19.05
20201125,20.91
20201126,21.84
20201127,21.8
20201130,27.33
20201201,28.73
20201202,29.87
20201203,30.69
20201204,29.66
20201206,27.65
20201207,23.84
20201208,22.09
20201209,21.53
20201210,18.3
20201211,17.64
20201214,20.67
20201215,21.12
20201216,20.01
20201217,22.32
20201218,21.97
20201221,22.51
20201229,66.35
20201230,65.83
20201231,68.38
20210104,72.09
20210105,58.94
20210106,58.87
20210107,60.68
20210108,61.43
20210111,53.36
20210112,59.89
20210113,69.5
20210114,68.57
20210115,66.55
20210117,66.34
20210118,61.46
20210119,55.23
20210120,41.19
20210121,37.72
20210122,36.73
20210123,36.85
20210125,32.77
20210126,31.2
20210127,35.06
20210129,35.58
20210201,37.95
20210202,35.7
20210203,40.75
20210204,39.97
20210205,36.91
20210206,36.91
20210208,36.4
20210209,33.18
20210210,27.1
20210211,26.56
20210212,27.97
20210215,28.4
20210216,31.65
20210217,32.03
20210218,34.42
20210219,32.31
20210221,32.19
20210222,23.08
20210223,24.58
20210224,25.11
20210225,22.08
20210226,20.56
20210227,20.2
20210228,20.16
20210301,19.31
20210302,14.8
20210303,14.42
20210304,14.48
20210305,14.33
20210306,14.35
20210307,14.34
20210308,13.81
20210309,14.18
20210310,15.49
20210311,14.46
20210312,14.68
20210315,13.91
20210316,13.82
20210317,12.82
20210318,12.71
20210319,12.49
20210322,12.74
20210323,11.69
20210324,11.36
20210325,10.86
20210326,10.45
20210329,10.86
20210330,10.31
20210331,8.96
20210401,8.52
20210402,8.14
20210405,7.41
20210406,7.1
20210407,7.05
20210408,6.91
20210409,6.66
20210410,6.64
20210412,6.71
20210413,6.02
20210414,6.03
20210415,6.15
20210416,5.99
20210419,5.09
20210421,8.04
20210422,1.7
20210423,2.09
20210426,1.9
20210427,2.56
20210428,2.81
20210429,3.24
20210430,3.36
20210503,3.7
20210504,3.71
20210505,4.15
20210506,3.17
20210507,3.42
20210510,3.73
20210511,5.15
20210512,6.4
20210513,7.73
20210514,9.46
20210517,9.23
20210518,9.63
20210519,8.4
20210520,7.2
20210521,7.62
20210523,7.62
20210524,8.65
20210525,9.57
20210526,9.64
20210527,9.1
20210528,8.69
20210531,9.85
20210601,9.62
20210602,10.46
20210603,11.79
20210604,13.22
20210607,14.65
20210608,15.12
20210609,14.69
20210610,13.83
20210611,15.24
20210614,14.87
20210615,15.49
20210616,15.53
20210617,15.24
20210618,14.89
20210619,14.92
20210621,17.76
20210622,20.05
20210623,23.25
20210624,25.78
20210625,29.15
20210628,44.28
20210629,48.12
20210630,48.55
20210701,55.79
20210702,70.98
20210705,98.76
20210706,101.75
20210707,95.31
20210708,100.88
20210709,91.78
20210710,91.7
20210712,77.91
20210713,78.88
20210716,75.67
20210719,59.12
20210720,51.83
