Date,DailyCases,CumulativeCases,Deaths,DeathsQF,PCROnly,PCROnlyCumulative,LFDOnly,LFDOnlyCumulative,LFDAndPCR,LFDAndPCRCumulative,FirstInfections,FirstInfectionsCumulative,Reinfections,ReinfectionsCumulative,PercentReinfections,PercentReinfectionsCumulative
20200228,1,1,0,,,,,,,,1,1,0,0,0,0
20200229,0,1,0,,,,,,,,0,1,0,0,,0
20200301,2,3,0,,,,,,,,2,3,0,0,0,0
20200302,1,4,0,,,,,,,,1,4,0,0,0,0
20200303,3,7,0,,,,,,,,3,7,0,0,0,0
20200304,6,13,0,,,,,,,,6,13,0,0,0,0
20200305,2,15,0,,,,,,,,2,15,0,0,0,0
20200306,6,21,0,,,,,,,,6,21,0,0,0,0
20200307,6,27,0,,,,,,,,6,27,0,0,0,0
20200308,3,30,0,,,,,,,,3,30,0,0,0,0
20200309,16,46,0,,,,,,,,16,46,0,0,0,0
20200310,21,67,0,,,,,,,,21,67,0,0,0,0
20200311,25,92,0,,,,,,,,25,92,0,0,0,0
20200312,38,130,1,,,,,,,,38,130,0,0,0,0
20200313,48,178,1,,,,,,,,48,178,0,0,0,0
20200314,19,197,3,,,,,,,,19,197,0,0,0,0
20200315,12,209,3,,,,,,,,12,209,0,0,0,0
20200316,21,230,4,,,,,,,,21,230,0,0,0,0
20200317,43,273,6,,,,,,,,43,273,0,0,0,0
20200318,41,314,6,,,,,,,,41,314,0,0,0,0
20200319,50,364,9,,,,,,,,50,364,0,0,0,0
20200320,84,448,14,,,,,,,,84,448,0,0,0,0
20200321,67,515,20,,,,,,,,67,515,0,0,0,0
20200322,74,589,25,,,,,,,,74,589,0,0,0,0
20200323,138,727,29,,,,,,,,138,727,0,0,0,0
20200324,167,894,36,,,,,,,,167,894,0,0,0,0
20200325,188,1082,47,,,,,,,,188,1082,0,0,0,0
20200326,223,1305,59,,,,,,,,223,1305,0,0,0,0
20200327,274,1579,70,,,,,,,,274,1579,0,0,0,0
20200328,204,1783,99,,,,,,,,204,1783,0,0,0,0
20200329,197,1980,119,,,,,,,,197,1980,0,0,0,0
20200330,317,2297,149,,,,,,,,317,2297,0,0,0,0
20200331,341,2638,187,,,,,,,,341,2638,0,0,0,0
20200401,389,3027,233,,,,,,,,389,3027,0,0,0,0
20200402,351,3378,269,,,,,,,,351,3378,0,0,0,0
20200403,381,3759,327,,,,,,,,381,3759,0,0,0,0
20200404,261,4020,355,,,,,,,,261,4020,0,0,0,0
20200405,225,4245,402,,,,,,,,225,4245,0,0,0,0
20200406,404,4649,465,,,,,,,,404,4649,0,0,0,0
20200407,352,5001,514,,,,,,,,352,5001,0,0,0,0
20200408,343,5344,568,,,,,,,,343,5344,0,0,0,0
20200409,304,5648,634,,,,,,,,304,5648,0,0,0,0
20200410,329,5977,692,,,,,,,,329,5977,0,0,0,0
20200411,185,6162,742,,,,,,,,185,6162,0,0,0,0
20200412,220,6382,790,,,,,,,,220,6382,0,0,0,0
20200413,359,6741,831,,,,,,,,359,6741,0,0,0,0
20200414,346,7087,882,,,,,,,,346,7087,0,0,0,0
20200415,331,7418,924,,,,,,,,331,7418,0,0,0,0
20200416,428,7846,967,,,,,,,,428,7846,0,0,0,0
20200417,394,8240,1005,,,,,,,,394,8240,0,0,0,0
20200418,264,8504,1057,,,,,,,,264,8504,0,0,0,0
20200419,159,8663,1103,,,,,,,,159,8663,0,0,0,0
20200420,348,9011,1164,,,,,,,,348,9011,0,0,0,0
20200421,400,9411,1215,,,,,,,,400,9411,0,0,0,0
20200422,340,9751,1261,,,,,,,,340,9751,0,0,0,0
20200423,314,10065,1310,,,,,,,,314,10065,0,0,0,0
20200424,306,10371,1348,,,,,,,,306,10371,0,0,0,0
20200425,184,10555,1396,,,,,,,,184,10555,0,0,0,0
20200426,171,10726,1439,,,,,,,,171,10726,0,0,0,0
20200427,434,11160,1499,,,,,,,,434,11160,0,0,0,0
20200428,383,11543,1539,,,,,,,,383,11543,0,0,0,0
20200429,431,11974,1577,,,,,,,,431,11974,0,0,0,0
20200430,337,12311,1620,,,,,,,,337,12311,0,0,0,0
20200501,375,12686,1668,,,,,,,,375,12686,0,0,0,0
20200502,222,12908,1712,,,,,,,,222,12908,0,0,0,0
20200503,188,13096,1749,,,,,,,,188,13096,0,0,0,0
20200504,329,13425,1789,,,,,,,,329,13425,0,0,0,0
20200505,288,13713,1839,,,,,,,,288,13713,0,0,0,0
20200506,307,14020,1882,,,,,,,,307,14020,0,0,0,0
20200507,297,14317,1922,,,,,,,,297,14317,0,0,0,0
20200508,258,14575,1956,,,,,,,,258,14575,0,0,0,0
20200509,180,14755,1990,,,,,,,,180,14755,0,0,0,0
20200510,153,14908,2018,,,,,,,,153,14908,0,0,0,0
20200511,265,15173,2050,,,,,,,,265,15173,0,0,0,0
20200512,230,15403,2081,,,,,,,,230,15403,0,0,0,0
