Site ID,Date/Time,Target 1 Result,Target 1 Concentration,Target 1,Target 1 Units,Target 1 Detection Limit,Sample ID
UK_SC_Site24,2021/2/19,presence,85619.30021,N1,gc/L,1316,UK_SC_Site24_S1
UK_SC_Site24,2021/2/23,presence,75691.38668,N1,gc/L,1316,UK_SC_Site24_S2
UK_SC_Site24,2021/3/1,presence,42624.29796,N1,gc/L,1316,UK_SC_Site24_S3
UK_SC_Site24,2021/3/8,presence,12468.74754,N1,gc/L,1316,UK_SC_Site24_S4
UK_SC_Site24,2021/3/15,presence,13535.64937,N1,gc/L,1316,UK_SC_Site24_S5
UK_SC_Site24,2021/3/22,presence,30013.66419,N1,gc/L,1316,UK_SC_Site24_S6
UK_SC_Site24,2021/3/30,presence,9513.48186,N1,gc/L,1316,UK_SC_Site24_S7
UK_SC_Site24,2021/4/6,presence,7508.676828,N1,gc/L,1316,UK_SC_Site24_S8
UK_SC_Site24,2021/4/12,presence,2989.695116,N1,gc/L,1316,UK_SC_Site24_S9
UK_SC_Site24,2021/4/28,presence,658,N1,gc/L,1316,UK_SC_Site24_S10
UK_SC_Site24,2021/5/7,presence,658,N1,gc/L,1316,UK_SC_Site24_S11
UK_SC_Site24,2021/5/10,presence,1580.013866,N1,gc/L,1316,UK_SC_Site24_S12
UK_SC_Site24,2021/5/19,absence,0,N1,gc/L,1316,UK_SC_Site24_S13
UK_SC_Site24,2021/5/26,presence,658,N1,gc/L,1316,UK_SC_Site24_S14
UK_SC_Site24,2021/6/2,presence,43794.72606,N1,gc/L,1316,UK_SC_Site24_S15
UK_SC_Site24,2021/6/9,presence,24304.93045,N1,gc/L,1316,UK_SC_Site24_S16
UK_SC_Site24,2021/6/16,presence,17045.46453,N1,gc/L,1316,UK_SC_Site24_S17
UK_SC_Site24,2021/6/22,presence,22342.07305,N1,gc/L,1316,UK_SC_Site24_S18
UK_SC_Site24,2021/6/29,presence,145126.2746,N1,gc/L,1316,UK_SC_Site24_S19
UK_SC_Site24,2021/7/6,presence,440415.5976,N1,gc/L,1316,UK_SC_Site24_S20
UK_SC_Site24,2021/7/13,presence,107927.9437,N1,gc/L,1316,UK_SC_Site24_S21
UK_SC_Site24,2021/7/20,presence,75879.36502,N1,gc/L,1316,UK_SC_Site24_S22
UK_SC_Site24,2021/7/26,presence,161820.6691,N1,gc/L,1316,UK_SC_Site24_S23
